0,1,0,1,0,0,2,0,1,1,0,1,1,2,2,1,0,0,1,0,0,1,0,0,0,1,7
1,1,1,1,0,1,2,0,1,2,2,1,0,1,2,1,0,2,1,1,0,0,0,0,0,1,4
2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,0,1,0,0,0,2,0
3,1,1,1,0,0,2,0,0,2,1,1,0,0,2,2,0,2,1,1,0,0,0,0,0,2,1
4,1,0,1,1,0,0,0,1,0,0,0,0,2,2,2,0,0,1,0,0,1,0,0,0,1,2
5,0,0,1,0,0,2,1,1,0,1,1,1,2,2,2,0,0,1,1,0,0,0,0,0,1,7
6,1,1,0,0,1,2,1,2,2,1,1,1,2,1,2,0,2,1,1,0,0,0,0,0,2,6
7,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1
8,0,0,0,0,1,2,0,0,1,1,1,0,1,1,2,2,0,1,0,0,1,0,0,0,1,2
9,0,0,1,0,1,2,0,1,1,1,1,1,1,2,1,0,0,1,0,0,1,0,0,0,1,2
10,0,1,1,0,0,2,1,2,1,1,2,1,0,1,2,1,2,1,0,0,1,0,0,0,1,7
11,1,1,1,0,0,0,0,0,2,1,1,0,0,1,2,0,0,1,1,0,0,0,0,0,0,1
12,0,1,1,0,1,2,0,1,2,1,2,2,2,1,2,1,1,1,0,0,1,0,0,0,1,6
13,1,1,1,0,0,2,0,1,2,1,0,0,2,2,1,0,0,1,1,0,0,0,0,0,2,5
14,0,0,1,0,1,2,0,2,1,0,0,0,2,2,2,1,2,0,0,1,0,0,0,0,1,7
15,1,0,1,1,1,2,0,2,2,1,1,1,2,2,2,2,2,1,1,0,0,0,0,0,2,6
16,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
17,1,0,0,1,1,1,0,1,1,0,0,0,2,1,1,0,2,1,1,0,0,0,0,0,2,7
18,1,0,0,0,1,0,0,1,0,0,0,0,2,1,1,0,2,1,1,0,0,0,0,0,2,2
19,0,0,0,0,0,2,0,1,1,0,0,0,0,1,2,0,2,1,0,0,1,0,0,0,1,5
20,1,1,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0
21,1,0,1,0,0,2,0,0,1,0,0,0,1,2,1,0,2,0,0,1,0,0,0,0,1,1
22,1,0,1,0,0,0,0,1,2,2,2,0,0,1,2,1,0,1,0,0,1,0,0,0,1,7
23,1,1,0,0,0,0,1,1,2,2,2,0,0,2,2,0,2,0,0,0,0,0,1,0,1,4
24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0
25,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,0,0,1,0
26,1,1,1,0,0,2,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
27,1,1,1,0,0,2,0,0,1,1,1,1,0,1,2,2,2,0,0,1,0,0,0,0,0,1
28,1,0,0,0,0,1,1,1,0,1,0,1,2,1,1,0,0,1,0,0,1,0,0,0,0,0
29,0,1,0,0,0,2,0,1,2,2,1,0,0,1,2,1,0,1,1,0,0,0,0,0,1,3
30,0,0,1,0,0,2,0,0,0,0,1,0,2,1,1,0,0,1,1,0,0,0,0,0,1,0
31,1,1,1,0,1,2,1,2,1,1,0,1,0,1,2,0,2,1,1,0,0,0,0,0,1,5
32,1,1,1,0,1,2,0,1,0,0,0,1,0,1,2,0,2,1,0,0,1,0,0,0,1,0
